city,state,0
Los Angeles,CA,17
Phoenix,AZ,15
Houston,TX,9
New York,NY,8
Albuquerque,NM,7
San Antonio,TX,6
Harris County,TX,6
Detroit,MI,5
Kansas City,MO,5
Louisville,KY,5
Spokane,WA,5
Charlotte,NC,5
Philadelphia,PA,4
Oklahoma City,OK,4
Las Vegas,NV,4
Tucson,AZ,4
Lake Charles,LA,4
Mesa,AZ,4
Cleveland,OH,3
Memphis,TN,3
Chicago,IL,3
Glendale,AZ,3
Portland,OR,3
Ogden,UT,3
Springfield,MO,3
Pueblo,CO,3
Wasilla,AK,3
Nashville,TN,3
Columbus,OH,3
Colorado Springs,CO,3
Salem,OR,2
Sacramento,CA,2
Salt Lake City,UT,2
San Bernardino,CA,2
Dallas,TX,2
Stockton,CA,2
San Diego,CA,2
San Francisco,CA,2
Savannah,GA,2
Corpus Christi,TX,2
Rushville,IN,2
Columbia,MO,2
South Bend,IN,2
Spartanburg,SC,2
St. Cloud,FL,2
Seattle,WA,2
Evansville,IN,2
Denver,CO,2
Huntington Park,CA,2
Long Beach,CA,2
Lincoln,NE,2
Lawton,OK,2
Lancaster,CA,2
Lakewood,CO,2
Lacey,WA,2
Killeen,TX,2
Minneapolis,MN,2
Jonesboro,AR,2
Jacksonville,FL,2
Indianapolis,IN,2
Honolulu,HI,2
Rialto,CA,2
Hemet,CA,2
Newnan,GA,2
Oxford,AL,2
Pasadena,CA,2
Frankfort,KY,2
Fort Worth,TX,2
Ferguson,MO,2
Caldwell,ID,2
Puyallup,WA,2
Elizabethtown,KY,2
Rancho Cucamonga,CA,2
Carlsbad,NM,2
Dothan,AL,2
Wheat Ridge,CO,2
Waterloo,IA,2
Baton Rouge,LA,2
Tulsa,OK,2
Winter Haven,FL,2
Akron,OH,2
Aurora,CO,2
Atlanta,GA,2
Aiken,SC,2
Birmingham,AL,2
Blue Springs,MO,2
Barstow,CA,2
Arvada,CO,2
Oak Harbor,WA,1
North Richmond,CA,1
North Pole,AK,1
North Branch,MN,1
North Platte,NE,1
North Middleton,PA,1
North Little Rock,AR,1
North Lauderdale,FL,1
North Charleston,SC,1
Oakland,CA,1
Ocala,FL,1
Wilcox,AZ,1
Nipton,CA,1
North Bend,WA,1
Wildomar,CA,1
Newburgh,NY,1
Willis,VA,1
New Underwood,SD,1
New Orleans,LA,1
New Lenox,IL,1
New Berlin,WI,1
Nelsonville,OH,1
Natomas,CA,1
National City,CA,1
Willits,CA,1
Odessa,TX,1
Okemah,OK,1
Oil Springs,KY,1
Parkland,WA,1
Philipsburg,MT,1
Wheeling,MO,1
Whitby,WV,1
Perdido,AL,1
Pensacola,FL,1
Pembine,WI,1
Pearson,GA,1
Paulden,AZ,1
Paterson,NJ,1
Paso Robles,CA,1
Pasco,WA,1
Pasadena,TX,1
White Lake,SD,1
Parmelee,SD,1
Papaaloa,HI,1
Oildale,CA,1
Panhandle,TX,1
Panama City,FL,1
Palmer,AK,1
Oxford,MA,1
Whitehall,LA,1
Wichita  Falls,TX,1
Ouachita Parish,LA,1
Orofino,ID,1
Orem,UT,1
Orangeville Township,MI,1
Ontario,CA,1
Old Town,ME,1
Old Forge,PA,1
Wichita Falls,TX,1
Myrtle Beach,SC,1
Topeka,KS,1
Wilmington,CA,1
Martin County,KY,1
Mesquite,TX,1
Woolwine,VA,1
Yazoo City,MS,1
Meridian,MS,1
Merced,CA,1
Yorkville,IL,1
Melbourne,FL,1
Meadowlake,NM,1
McLean,VA,1
Mason County,KY,1
Youngstown,OH,1
Mason,OH,1
Maryville,TN,1
Marysville,CA,1
Marrero,LA,1
Metairie,LA,1
Marietta,GA,1
Margate,FL,1
Marana,AZ,1
Mapleton,ND,1
Manila,AR,1
Madisonville,TN,1
Madisonville,OH,1
Madison Parish,LA,1
Madison County,MO,1
Madison,TN,1
Luverne,AL,1
Yreka,CA,1
Ludlow,VT,1
Loyal,WI,1
Woodlawn,MD,1
Miami,FL,1
Murphy,ID,1
Monongalia,WV,1
Mount Pleasant,TX,1
Mount Hermon,LA,1
Wilmington,DE,1
Mounds View,MN,1
Morrow,GA,1
Morgan County,KY,1
Wilmington,NC,1
Moreno Valley,CA,1
Montgomery Creek,KY,1
Montgomery,WV,1
Winstom-Salem,NC,1
Monterey Park,CA,1
Montcalm,WV,1
Monroe,OH,1
Monongahela,PA,1
Miami Springs,FL,1
Monahans,TX,1
Mississippi County,AR,1
Mishawaka,IN,1
Winter Park,FL,1
Winthrop,MA,1
Mingo County,WV,1
Milwaukee,WI,1
Wise County,VA,1
Milpitas,CA,1
Milford,MA,1
Middleton,WI,1
Wisner,LA,1
Miami-Dade County,FL,1
Wood River,IL,1
Mulberry,FL,1
Pine River,WI,1
Pilot Station,AK,1
South Hill,VA,1
Sioux Falls,SD,1
Snellville,GA,1
Sodus,NY,1
Solvang,CA,1
Somerton,AZ,1
Vici,OK,1
South Jordan,UT,1
Pine Hills,FL,1
South Knoxville,TN,1
Vernon Parish,LA,1
South Lake Tahoe,CA,1
South Ogden,UT,1
South Salt Lake,UT,1
Ventana Ranch,NM,1
Sioux City,IA,1
Simms,TX,1
Victorville,CA,1
Vineland,NJ,1
Silver Spring,MD,1
Visalia,CA,1
Shirley,AR,1
