,state_name,Total Population_state,Hispanic or Latino_state,Not Hispanic or Latino:,Population of one race:_state,Population of two or more races:_state,FRACTotal,White Alone and in Combination_state,Black Alone and in Combination_state,Asian Alone and in Combination_state,Other Alone and in Combination_state,Native Alone and in Combination_state,NHPI Alone and in Combination_state,Calc Total (Not Latino),Asian/NHPI Alone and in Combination_state,state,Location,Total Population_area,Hispanic or Latino_area,Population of one race:_area,Population of two or more races:_area,White Alone and in Combination_area,Black Alone and in Combination_area,Asian Alone and in Combination_area,Other Alone and in Combination_area,Native Alone and in Combination_area,NHPI Alone and in Combination_area,city,Asian/NHPI Alone and in Combination_area
17,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Jasper, AL Micro Area",65342.0,2152.0,60891.0,2299.0,57505.65,4198.917,336.067,301.15,835.817,12.4,Jasper,348.467
18,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"LaGrange, GA-AL Micro Area",104198.0,4193.0,96905.0,3100.0,58106.583,38337.25,2129.833,569.333,785.333,76.667,LaGrange,2206.5
19,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Mobile, AL Metro Area",430197.0,13563.0,400640.0,15994.0,244010.617,151561.867,9458.45,2585.2,8649.7,368.167,Mobile,9826.617
20,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Montgomery, AL Metro Area",386047.0,15734.0,358403.0,11910.0,185420.467,168873.3,10504.633,2083.467,3140.717,290.417,Montgomery,10795.05
21,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Ozark, AL Micro Area",49326.0,3254.0,43773.0,2299.0,33642.283,10502.783,813.283,354.033,676.283,83.333,Ozark,896.616
22,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Scottsboro, AL Micro Area",52579.0,1681.0,47752.0,3146.0,46653.517,1873.267,268.017,256.817,1833.517,12.867,Scottsboro,280.884
23,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Selma, AL Micro Area",38462.0,296.0,37426.0,740.0,10663.9,27088.233,154.0,74.733,162.9,22.233,Selma,176.233
24,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Talladega-Sylacauga, AL Micro Area",82149.0,1779.0,77884.0,2486.0,51862.633,26855.55,478.3,363.033,763.05,47.433,Talladega-Sylacauga,525.7330000000001
25,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Troy, AL Micro Area",33009.0,905.0,30976.0,1128.0,18539.917,12323.417,648.083,161.833,410.083,20.667,Troy,668.75
26,Alabama,5024279.0,264047.0,4760232.0,4575614.0,184618.0,184618.0,3255635.617,1317988.283,87442.383,27941.65,66956.183,4267.883,4760231.999,91710.266,AL,"Tuscaloosa, AL Metro Area",268674.0,13561.0,247733.0,7380.0,155524.567,92177.067,3883.567,1336.283,2026.65,164.867,Tuscaloosa,4048.434
27,Alaska,733391.0,49824.0,683567.0,611806.0,71761.0,71761.0,453342.117,25788.533,50708.633,8711.067,130259.217,14757.433,683567.0,65466.066000000006,AK,"Anchorage, AK Metro Area",398328.0,31682.0,324952.0,41694.0,257479.017,18261.75,33458.233,4978.4,40538.683,11929.917,Anchorage,45388.15
28,Alaska,733391.0,49824.0,683567.0,611806.0,71761.0,71761.0,453342.117,25788.533,50708.633,8711.067,130259.217,14757.433,683567.0,65466.066000000006,AK,"Fairbanks, AK Metro Area",95655.0,7320.0,78708.0,9627.0,67569.283,4594.2,3919.367,1577.117,9911.867,763.167,Fairbanks,4682.534000000001
29,Alaska,733391.0,49824.0,683567.0,611806.0,71761.0,71761.0,453342.117,25788.533,50708.633,8711.067,130259.217,14757.433,683567.0,65466.066000000006,AK,"Juneau, AK Micro Area",32255.0,2077.0,26136.0,4042.0,21399.533,503.5,2584.567,370.45,4756.183,563.767,Juneau,3148.334
30,Alaska,733391.0,49824.0,683567.0,611806.0,71761.0,71761.0,453342.117,25788.533,50708.633,8711.067,130259.217,14757.433,683567.0,65466.066000000006,AK,"Ketchikan, AK Micro Area",13948.0,650.0,11822.0,1476.0,8891.467,159.6,1253.467,169.3,2766.133,58.033,Ketchikan,1311.5
31,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Flagstaff, AZ Metro Area",145101.0,21719.0,117276.0,6106.0,79695.733,2316.85,3307.017,1188.033,36468.767,405.6,Flagstaff,3712.6169999999997
32,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Lake Havasu City-Kingman, AZ Metro Area",213267.0,34126.0,169936.0,9205.0,164529.183,2684.017,3326.933,1874.017,6130.517,596.333,Lake Havasu City-Kingman,3923.266
33,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Nogales, AZ Micro Area",47669.0,39632.0,7745.0,292.0,7244.417,132.917,295.25,201.167,138.5,24.75,Nogales,320.0
34,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Payson, AZ Micro Area",53272.0,9283.0,42326.0,1663.0,33535.483,317.15,527.417,434.567,9084.567,89.817,Payson,617.234
35,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Phoenix-Mesa-Chandler, AZ Metro Area",4845832.0,1472948.0,3186248.0,186636.0,2680751.45,294203.883,230818.4,39900.15,111238.017,15972.1,Phoenix-Mesa-Chandler,246790.5
36,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Prescott Valley-Prescott, AZ Metro Area",236209.0,34390.0,192172.0,9647.0,187916.1,2015.683,3551.333,2392.933,5462.517,480.433,Prescott Valley-Prescott,4031.766
37,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Safford, AZ Micro Area",38533.0,11428.0,26281.0,824.0,20762.833,546.0,227.0,177.333,5342.667,49.167,Safford,276.16700000000003
38,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Show Low, AZ Micro Area",106717.0,10887.0,92880.0,2950.0,46072.95,915.45,701.95,454.75,47546.283,138.617,Show Low,840.567
39,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Sierra Vista-Douglas, AZ Metro Area",125447.0,42615.0,77122.0,5710.0,70861.233,5076.9,3225.033,1333.367,1753.067,582.4,Sierra Vista-Douglas,3807.433
40,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Tucson, AZ Metro Area",1043433.0,372788.0,633230.0,37415.0,553818.867,41051.783,35262.867,8568.333,29239.533,2703.617,Tucson,37966.484
41,Arizona,7151502.0,2192253.0,4959249.0,4692409.0,266840.0,266840.0,3936442.283,353704.583,284609.15,58087.433,304900.95,21504.6,4959248.999,306113.75,AZ,"Yuma, AZ Metro Area",203881.0,130003.0,69653.0,4225.0,63051.567,3910.983,2772.483,1193.35,2610.167,339.45,Yuma,3111.933
42,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Arkadelphia, AR Micro Area",21446.0,1092.0,19490.0,864.0,14496.233,5234.317,177.65,154.75,271.067,19.983,Arkadelphia,197.633
43,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Batesville, AR Micro Area",55209.0,3620.0,49002.0,2587.0,48497.333,1172.917,490.25,369.167,997.833,61.5,Batesville,551.75
44,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Blytheville, AR Micro Area",40685.0,1771.0,37522.0,1392.0,23463.95,14592.283,272.2,224.117,355.25,6.2,Blytheville,278.4
45,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Camden, AR Micro Area",27389.0,643.0,25603.0,1143.0,16094.667,10032.417,169.333,133.5,293.5,22.583,Camden,191.916
46,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"El Dorado, AR Micro Area",39054.0,1754.0,36087.0,1213.0,23467.917,12895.417,305.5,218.25,388.75,24.167,El Dorado,329.66700000000003
47,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Fayetteville-Springdale-Rogers, AR Metro Area",546725.0,96185.0,418292.0,32248.0,381843.033,15327.617,21441.533,3929.45,15987.867,12010.5,Fayetteville-Springdale-Rogers,33452.032999999996
48,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Forrest City, AR Micro Area",23090.0,686.0,21929.0,475.0,9413.667,12616.167,131.667,67.833,167.833,6.833,Forrest City,138.5
49,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Fort Smith, AR-OK Metro Area",244310.0,26112.0,198215.0,19983.0,177582.967,11145.967,7830.05,1561.983,19841.133,235.9,Fort Smith,8065.95
50,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Harrison, AR Micro Area",44598.0,1055.0,41230.0,2313.0,41539.567,180.583,327.983,305.567,1150.15,39.15,Harrison,367.133
51,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Helena-West Helena, AR Micro Area",16568.0,264.0,15971.0,333.0,5680.783,10398.033,70.283,48.083,100.533,6.283,Helena-West Helena,76.566
52,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Hope, AR Micro Area",28375.0,3307.0,24092.0,976.0,16147.333,8279.667,163.0,122.5,343.667,11.833,Hope,174.833
53,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Hot Springs, AR Metro Area",100180.0,7047.0,87224.0,5909.0,80019.367,8879.7,1192.0,781.95,2149.867,110.117,Hot Springs,1302.117
54,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Jonesboro, AR Metro Area",134196.0,7556.0,120888.0,5752.0,100990.917,21195.333,1980.083,757.167,1618.5,98.0,Jonesboro,2078.083
55,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Little Rock-North Little Rock-Conway, AR Metro Area",748031.0,52786.0,659949.0,35296.0,485210.183,177429.1,15936.483,5195.3,10842.35,631.583,Little Rock-North Little Rock-Conway,16568.066
56,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Magnolia, AR Micro Area",22801.0,773.0,21375.0,653.0,13529.95,7962.95,188.033,117.25,225.617,4.2,Magnolia,192.23299999999998
57,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Malvern, AR Micro Area",33040.0,1265.0,30036.0,1739.0,27048.583,3712.167,162.417,205.25,619.083,27.5,Malvern,189.917
58,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Memphis, TN-MS-AR Metro Area",1337779.0,94948.0,1201907.0,40924.0,570299.383,618223.55,35569.383,8032.017,9788.633,918.033,Memphis,36487.416000000005
59,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Mountain Home, AR Micro Area",41627.0,1058.0,38692.0,1877.0,38968.5,168.167,298.0,289.333,817.667,27.333,Mountain Home,325.33299999999997
60,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Paragould, AR Micro Area",45736.0,1596.0,42145.0,1995.0,41489.083,1092.75,236.75,343.167,681.083,297.167,Paragould,533.9169999999999
61,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Pine Bluff, AR Metro Area",87751.0,2289.0,83134.0,2328.0,40839.983,42566.567,796.733,374.75,758.567,125.4,Pine Bluff,922.1329999999999
62,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Russellville, AR Micro Area",83644.0,10619.0,68706.0,4319.0,66848.417,2664.5,1066.417,563.5,1824.917,57.25,Russellville,1123.667
63,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Searcy, AR Micro Area",76822.0,3499.0,69214.0,4109.0,66345.667,4139.5,776.5,615.667,1385.833,59.833,Searcy,836.333
64,Arkansas,3011524.0,256847.0,2754677.0,2607520.0,147157.0,147157.0,2132648.05,468094.733,58404.15,19636.967,60352.167,15540.933,2754677.0,73945.083,AR,"Texarkana, TX-AR Metro Area",147519.0,9594.0,131051.0,6874.0,95215.183,37432.767,1548.517,964.683,2628.1,135.75,Texarkana,1684.267
65,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Bakersfield, CA Metro Area",909235.0,499158.0,381514.0,28563.0,292128.6,50333.017,47847.7,6866.767,10959.25,1941.667,Bakersfield,49789.367
66,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Chico, CA Metro Area",211632.0,40112.0,158046.0,13474.0,145942.717,4385.967,11726.05,2339.883,6256.367,869.017,Chico,12595.067
67,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Clearlake, CA Micro Area",68163.0,15442.0,48512.0,4209.0,46174.683,1479.933,1258.6,896.417,2712.767,198.6,Clearlake,1457.1999999999998
68,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Crescent City, CA Micro Area",27743.0,5321.0,20215.0,2207.0,17270.65,961.317,970.733,363.7,2773.317,82.283,Crescent City,1053.0159999999998
69,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"El Centro, CA Metro Area",179702.0,153027.0,25088.0,1587.0,17440.817,4026.533,2482.617,671.65,1893.9,159.483,El Centro,2642.1000000000004
70,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Eureka-Arcata, CA Micro Area",136463.0,18535.0,107521.0,10407.0,98173.067,2443.733,4403.95,2040.65,10157.4,709.2,Eureka-Arcata,5113.15
71,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Fresno, CA Metro Area",1008654.0,540743.0,438365.0,29546.0,284597.367,47898.033,114695.783,7690.15,10919.117,2110.55,Fresno,116806.333
72,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Hanford-Corcoran, CA Metro Area",152486.0,86607.0,60906.0,4973.0,46448.283,9007.867,6391.867,1093.95,2374.617,562.417,Hanford-Corcoran,6954.284000000001
73,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13200998.0,5891597.0,6871106.0,438295.0,3945212.05,866953.233,2281539.6,113669.033,58900.067,43127.017,Los Angeles-Long Beach-Anaheim,2324666.617
74,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Madera, CA Metro Area",156255.0,93178.0,58694.0,4383.0,50398.0,4461.5,4049.5,1178.833,2732.083,257.083,Madera,4306.583
75,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Merced, CA Metro Area",281202.0,173857.0,99767.0,7578.0,72027.183,9169.6,20947.85,1891.033,2421.6,887.733,Merced,21835.583
76,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Modesto, CA Metro Area",552878.0,265978.0,264447.0,22453.0,217687.483,16384.733,36748.233,4766.783,6485.75,4827.017,Modesto,41575.25
77,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Napa, CA Metro Area",138019.0,48829.0,83462.0,5728.0,71499.45,2753.7,11600.45,1504.783,1301.65,529.967,Napa,12130.417000000001
78,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",843843.0,365285.0,445692.0,32866.0,375743.967,16474.383,70462.883,7624.233,5735.883,2516.65,Oxnard-Thousand Oaks-Ventura,72979.533
79,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Red Bluff, CA Micro Area",65829.0,17938.0,44303.0,3588.0,43059.867,599.2,1204.533,770.917,2090.7,165.783,Red Bluff,1370.3159999999998
80,California,39538223.0,15579652.0,23958571.0,22330849.0,1627722.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,23958571.0,6541516.6,CA,"Redding, CA Metro Area",182155.0,19730.0,149901.0,12524.0,142894.8,2558.883,6854.217,2162.583,7392.8,561.717,Redding,7415.933999999999
