,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
15,"Alexander City, AL Micro Area",51698.0,1345.0,48902.0,1451.0,35716.333,13641.75,269.417,239.917,476.083,9.5,AL,Alexander City,278.917
16,"Alexandria, LA Metro Area",152192.0,6423.0,139828.0,5941.0,95642.417,44354.4,2238.817,1014.4,2439.317,79.65,LA,Alexandria,2318.467
17,"Alexandria, MN Micro Area",39006.0,815.0,37254.0,937.0,37085.25,322.917,301.5,195.25,263.25,22.833,MN,Alexandria,324.33299999999997
18,"Alice, TX Micro Area",48722.0,38797.0,8599.0,1326.0,8548.0,368.5,202.917,617.75,169.833,18.0,TX,Alice,220.917
19,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",861889.0,157445.0,677042.0,27402.0,610542.05,51913.883,29384.3,7870.917,4325.217,407.633,NJ,Allentown-Bethlehem-Easton,29791.933
20,"Alma, MI Micro Area",41761.0,3153.0,37448.0,1160.0,35369.0,2300.5,224.833,266.167,408.333,39.167,MI,Alma,264.0
21,"Alpena, MI Micro Area",28907.0,417.0,27416.0,1074.0,27528.583,185.167,163.583,216.767,368.25,27.65,MI,Alpena,191.233
22,"Altoona, PA Metro Area",122822.0,1708.0,116860.0,4254.0,115071.583,3080.167,1061.75,920.083,927.833,52.583,PA,Altoona,1114.333
23,"Altus, OK Micro Area",24785.0,5937.0,17333.0,1515.0,15558.9,1846.483,421.583,185.517,734.233,101.283,OK,Altus,522.866
24,"Amarillo, TX Metro Area",268691.0,77791.0,181312.0,9588.0,157941.917,17906.167,9193.833,1858.35,3842.4,157.333,TX,Amarillo,9351.166000000001
25,"Americus, GA Micro Area",34163.0,1945.0,31434.0,784.0,15223.083,16127.667,568.333,89.583,189.917,19.417,GA,Americus,587.75
26,"Ames, IA Metro Area",125252.0,5741.0,114163.0,5348.0,106636.017,3764.35,6632.517,894.333,895.683,688.1,IA,Ames,7320.617
27,"Amsterdam, NY Micro Area",49532.0,7312.0,40005.0,2215.0,39293.333,1247.167,579.75,578.417,498.0,23.333,NY,Amsterdam,603.083
28,"Anchorage, AK Metro Area",398328.0,31682.0,324952.0,41694.0,257479.017,18261.75,33458.233,4978.4,40538.683,11929.917,AK,Anchorage,45388.15
29,"Andrews, TX Micro Area",18610.0,10400.0,7844.0,366.0,7579.667,234.5,114.0,76.5,200.667,4.667,TX,Andrews,118.667
30,"Angola, IN Micro Area",34435.0,1427.0,32019.0,989.0,31923.733,325.067,249.233,229.2,270.9,9.867,IN,Angola,259.1
31,"Ann Arbor, MI Metro Area",372258.0,20731.0,330811.0,20716.0,261674.667,45580.167,36759.333,4083.0,3077.75,352.083,MI,Ann Arbor,37111.416
32,"Anniston-Oxford, AL Metro Area",116441.0,5010.0,106863.0,4568.0,81619.383,26178.217,1411.467,617.383,1442.883,161.667,AL,Anniston-Oxford,1573.134
33,"Appleton, WI Metro Area",243147.0,12280.0,222765.0,8102.0,211843.783,4288.7,8573.867,1358.783,4580.283,221.583,WI,Appleton,8795.45
34,"Arcadia, FL Micro Area",33976.0,10011.0,23184.0,781.0,18991.667,4335.7,217.533,182.2,219.2,18.7,FL,Arcadia,236.23299999999998
35,"Ardmore, OK Micro Area",58149.0,5307.0,47290.0,5552.0,40517.283,3666.533,751.533,898.833,6928.033,79.783,OK,Ardmore,831.316
36,"Arecibo, PR Metro Area",182705.0,181254.0,1367.0,84.0,1108.167,138.167,86.667,98.167,13.833,6.0,0,Arecibo,92.667
37,"Arkadelphia, AR Micro Area",21446.0,1092.0,19490.0,864.0,14496.233,5234.317,177.65,154.75,271.067,19.983,AR,Arkadelphia,197.633
38,"Asheville, NC Metro Area",469015.0,40498.0,409806.0,18711.0,390387.667,21605.583,6317.917,3733.5,5599.967,872.367,NC,Asheville,7190.284000000001
39,"Ashland, OH Micro Area",52447.0,862.0,49871.0,1714.0,49776.417,543.583,393.083,268.333,558.417,45.167,OH,Ashland,438.25
40,"Ashtabula, OH Micro Area",97574.0,4489.0,88320.0,4765.0,86359.933,4209.433,477.183,906.833,1091.1,40.517,OH,Ashtabula,517.7
41,"Astoria, OR Micro Area",41072.0,3848.0,34968.0,2256.0,34604.083,335.75,777.083,504.25,842.5,160.333,OR,Astoria,937.4159999999999
42,"Atchison, KS Micro Area",16348.0,583.0,14923.0,842.0,14331.667,952.75,117.417,129.167,215.917,18.083,KS,Atchison,135.5
43,"Athens, OH Micro Area",62431.0,1450.0,58544.0,2437.0,55230.667,3139.667,1403.167,465.667,720.833,21.0,OH,Athens,1424.167
44,"Athens, TN Micro Area",53276.0,2161.0,48529.0,2586.0,47235.333,2190.167,510.167,276.0,869.667,33.667,TN,Athens,543.834
45,"Athens, TX Micro Area",82150.0,11242.0,67725.0,3183.0,63394.117,5061.783,616.95,498.033,1274.033,63.083,TX,Athens,680.033
46,"Athens-Clarke County, GA Metro Area",215415.0,19508.0,188242.0,7665.0,144053.35,39545.4,8495.767,1894.683,1771.017,146.783,GA,Athens-Clarke County,8642.55
47,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6089815.0,730470.0,5130254.0,229091.0,2754210.217,2071668.167,421975.383,62437.05,44428.25,4625.933,GA,Atlanta-Sandy Springs-Alpharetta,426601.316
48,"Atlantic City-Hammonton, NJ Metro Area",274534.0,53713.0,211225.0,9596.0,152974.6,40931.767,22690.933,2422.833,1594.767,206.1,NJ,Atlantic City-Hammonton,22897.033
