,count,count,count,count,count,count,count,count,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera,body_camera
Arab,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aragonite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aransas Pass,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Araphoe County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arcata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Archdale,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arcola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardmore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardsley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arietta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ariton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arizona City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arkoma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arleta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Arlington,4,1,5,2,3,0,3,0,0,0,0,0,1,0,0,0
Arnold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arpin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Artesia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arundel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvada,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,0
Arvonia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asbury Park,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ashe County,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Asheboro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Asheville,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ashland,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Ashtabula,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ashtabula Township,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashville,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashwaubenon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Assaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assumption Parish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Atascadero,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,0,0,0,0,5,1,2,0,0,0,0,0,5,1,1,0
Atkins,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Atlanta,3,2,4,5,4,6,5,2,0,1,1,0,0,1,0,0
Atlantic City,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Atmore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Atwater,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Auburn,0,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0
Auburndale,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Augusta,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Aurora,5,1,0,6,3,3,0,4,0,0,0,1,1,2,0,1
Austell,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Austin,6,7,6,5,4,1,6,5,0,0,0,1,2,1,3,2
Avella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avenal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Avon Park,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Avondale,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Azle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aztec,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Azusa,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Backus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bacliff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bagley Township,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bailey,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bainbridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bainbridge Island,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,6,4,5,2,5,4,6,2,0,0,0,0,0,3,5,2
Balch Springs,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Baldwin County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin Hills,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore,2,4,3,2,6,3,6,1,0,0,3,2,3,1,3,1
Bandon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bangor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barberton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barberville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbourville,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bardstown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnwell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barona Indian Reservation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrow,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrow County,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barstow,2,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0
Bartholomew County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bartlesville,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bartlett,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Barton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bascom,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Basin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bass River,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bassett,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastrop,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Batesville,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bath,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baton Rouge,2,5,2,0,2,1,0,1,0,2,1,0,0,1,0,0
Battle Creek,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Battle Ground,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baxter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baxter Springs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bay City,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bay Minette,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Baylor County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bayonne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Baytown,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Beach Park,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Beacon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beasley,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beatrice,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beaumont,0,3,1,0,3,2,1,0,0,0,0,0,0,0,0,0
Beaver,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Dam,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Beaver Township,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beaverton,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckley,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beckville,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Beech Grove,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beeville,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bel Air,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Belcourt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Belen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Belgrade,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell County,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bell Gardens,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Belle Glade,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belleville,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellflower,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bellingham,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Bellville,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Belmont,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beloit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belton,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Bemidji,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
Bend,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bennington Township,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benton,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Benton City,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Benton Harbor,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Benton Township,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bentonville,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Berea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernalillo,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Berne,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernice,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Berwick,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bessemer City,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bethany,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethel Springs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bethel Township,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bettendorf,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Beverly,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Hills,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bexar County,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Bibb County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Big Bear,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Lake,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Springs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Sur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Biloxi,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Bingham County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Birch River,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Birmingham,1,2,2,1,2,0,4,1,0,0,0,0,0,0,1,0
Bisbee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bismarck,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bixby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Diamond,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Black River Falls,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Blackfoot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blackman Township,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blacksburg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Blackwell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blair,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bloomfield,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield Township,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomingdale,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bloomington,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomsburg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blountville,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blue Hill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blue Springs,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Blue Summit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff City,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blytheville,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Boerne,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Bogalusa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boiling Springs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise,1,3,1,2,1,0,3,0,0,2,0,0,1,0,1,0
Bolivar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bolton,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bon Aqua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonaire,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonne Terre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bonnyman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boone,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Booneville,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Boonville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boring,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Boron,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bossier City,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
Boston,2,3,0,0,3,0,1,1,0,0,0,0,1,0,1,0
Boswell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bothell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Boulder,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boulder City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulder Creek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bountiful,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bowling Green,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowlus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Box Elder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Boyle Heights,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boynton Beach,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Boyton Beach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bracketville,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bradenton,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Bradley,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bradley County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Braham,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Braintree,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brandon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brandywine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brawley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braxton,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Braxton County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Breaux Bridge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremen,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bremerton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brevard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewster County,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brick,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brick Township,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeview,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bridgewater,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brighton,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brighton Township,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Bristol Township,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brockton,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Brodhead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Bow,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bronx,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Brookhaven,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookline,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brooklyn,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0
Brooklyn Center,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0
Brookshire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooksville,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookville,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broomfield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broward County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brown City,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brownstown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brownsville,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Bruce,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brunswick,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bryant,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Buchanan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Buckeye,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0
Buckhannon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buena Park,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buena Vista,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buffalo,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1
Buffalo Grove,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buford,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bull Shoals,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullhead City,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulls Gap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bunch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbank,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Burien,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkesville,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Burlington,2,1,0,1,1,0,0,1,2,1,0,0,0,0,0,0
Burnet,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Burns,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burns Flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnsville,0,4,0,1,0,0,2,0,0,4,0,0,0,0,2,0
Burton,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bushnell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
